,center_point,envelope,Nome_Munic,geometry
0,POINT (-38.765 -7.003),"POLYGON ((-38.79 -7.0280000000000005, -38.74 -7.0280000000000005, -38.74 -6.978, -38.79 -6.978, -38.79 -7.0280000000000005))",Cachoeira dos Índios,"POLYGON ((-38.750639999998384 -6.996909999998024, -38.75832999999875 -6.998059999998077, -38.76463999999942 -6.993489999998928, -38.76061 -6.98964999999771, -38.75152999999773 -6.988179999998465, -38.744775817377786 -6.978, -38.74 -6.978, -38.74 -7.004583728562433, -38.750639999998384 -6.996909999998024))"
1,POINT (-38.765 -6.953),"POLYGON ((-38.79 -6.978000000000001, -38.74 -6.978000000000001, -38.74 -6.928, -38.79 -6.928, -38.79 -6.978000000000001))",Cachoeira dos Índios,"POLYGON ((-38.74251999999797 -6.974599999997736, -38.74772 -6.966299999998228, -38.74660999999833 -6.960179999998218, -38.75694999999905 -6.957769999999073, -38.76498999999785 -6.947539999999208, -38.75536 -6.939729999998235, -38.75713999999789 -6.934219999999186, -38.76091972772063 -6.928, -38.74 -6.928, -38.74 -6.978000000000001, -38.744775817377786 -6.978000000000001, -38.74251999999797 -6.974599999997736))"
2,POINT (-38.765 -6.903),"POLYGON ((-38.79 -6.928, -38.74 -6.928, -38.74 -6.877999999999999, -38.79 -6.877999999999999, -38.79 -6.928))",Cachoeira dos Índios,"POLYGON ((-38.76204999999936 -6.926139999997758, -38.75840999999855 -6.924879999998666, -38.758569999998144 -6.916219999999157, -38.76485999999932 -6.910509999997885, -38.755919999997786 -6.903189999999086, -38.74 -6.899036956521597, -38.74 -6.928, -38.76091972772063 -6.928, -38.76204999999936 -6.926139999997758))"
3,POINT (-38.715 -7.653),"POLYGON ((-38.74 -7.678, -38.690000000000005 -7.678, -38.690000000000005 -7.627999999999999, -38.74 -7.627999999999999, -38.74 -7.678))",Santa Inês,"POLYGON ((-38.69563999999809 -7.632399999998597, -38.69948795538772 -7.627999999999999, -38.690000000000005 -7.627999999999999, -38.690000000000005 -7.633759697295591, -38.69563999999809 -7.632399999998597))"
4,POINT (-38.715 -7.603),"POLYGON ((-38.74 -7.628, -38.690000000000005 -7.628, -38.690000000000005 -7.577999999999999, -38.74 -7.577999999999999, -38.74 -7.628))",Santa Inês,"POLYGON ((-38.705049999998664 -7.621639999999388, -38.71475999999893 -7.621509999999034, -38.71723999999813 -7.626479999998992, -38.71461999999883 -7.615869999997813, -38.717939999998634 -7.608949999998003, -38.71266999999898 -7.6079499999978, -38.71066999999857 -7.586229999998977, -38.702259999998205 -7.580609999999069, -38.690000000000005 -7.5816494347812124, -38.690000000000005 -7.628, -38.69948795538772 -7.628, -38.705049999998664 -7.621639999999388))"
5,POINT (-38.715 -7.053),"POLYGON ((-38.74 -7.078, -38.690000000000005 -7.078, -38.690000000000005 -7.028, -38.74 -7.028, -38.74 -7.078))",Cachoeira dos Índios,"POLYGON ((-38.69108999999844 -7.028739999997924, -38.69256665460571 -7.028, -38.690000000000005 -7.028, -38.690000000000005 -7.036110792668415, -38.69108999999844 -7.028739999997924))"
6,POINT (-38.715 -7.003),"POLYGON ((-38.74 -7.0280000000000005, -38.690000000000005 -7.0280000000000005, -38.690000000000005 -6.978, -38.74 -6.978, -38.74 -7.0280000000000005))",Cachoeira dos Índios,"POLYGON ((-38.713159999999334 -7.017679999999018, -38.71676 -7.016539999998713, -38.73023 -7.011629999999059, -38.74 -7.004583728562433, -38.74 -6.978, -38.690000000000005 -6.978, -38.690000000000005 -7.0280000000000005, -38.69256665460571 -7.0280000000000005, -38.713159999999334 -7.017679999999018))"
7,POINT (-38.715 -6.953),"POLYGON ((-38.74 -6.978000000000001, -38.690000000000005 -6.978000000000001, -38.690000000000005 -6.928, -38.74 -6.928, -38.74 -6.978000000000001))",Cachoeira dos Índios,"POLYGON ((-38.74 -6.928, -38.690000000000005 -6.928, -38.690000000000005 -6.978000000000001, -38.74 -6.978000000000001, -38.74 -6.928))"
8,POINT (-38.715 -6.903),"POLYGON ((-38.74 -6.928, -38.690000000000005 -6.928, -38.690000000000005 -6.877999999999999, -38.74 -6.877999999999999, -38.74 -6.928))",Cachoeira dos Índios,"POLYGON ((-38.729929999997694 -6.896409999999378, -38.73117999999886 -6.88886999999886, -38.72829999999885 -6.886969999997746, -38.713659999999436 -6.885749999997643, -38.7137840661679 -6.877999999999999, -38.690000000000005 -6.877999999999999, -38.690000000000005 -6.928, -38.74 -6.928, -38.74 -6.899036956521597, -38.729929999997694 -6.896409999999378))"
9,POINT (-38.715 -6.853),"POLYGON ((-38.74 -6.878, -38.690000000000005 -6.878, -38.690000000000005 -6.827999999999999, -38.74 -6.827999999999999, -38.74 -6.878))",Cachoeira dos Índios,"POLYGON ((-38.713809999999285 -6.87637999999788, -38.708779999999024 -6.874019999999291, -38.70005999999921 -6.876199999998789, -38.690000000000005 -6.868273717201233, -38.690000000000005 -6.878, -38.7137840661679 -6.878, -38.713809999999285 -6.87637999999788))"
10,POINT (-38.665 -7.703),"POLYGON ((-38.69 -7.728000000000001, -38.64 -7.728000000000001, -38.64 -7.678, -38.69 -7.678, -38.69 -7.728000000000001))",Santa Inês,"POLYGON ((-38.64095999999881 -7.686059999998179, -38.641662853906965 -7.678, -38.64 -7.678, -38.64 -7.686592903223337, -38.64095999999881 -7.686059999998179))"
11,POINT (-38.665 -7.653),"POLYGON ((-38.69 -7.678, -38.64 -7.678, -38.64 -7.627999999999999, -38.69 -7.627999999999999, -38.69 -7.678))",Santa Inês,"POLYGON ((-38.64173 -7.677229999999327, -38.651059999998324 -7.676669999998921, -38.65035999999782 -7.668159999999261, -38.65830999999889 -7.6619, -38.66323999999804 -7.657119999998031, -38.66957999999795 -7.660079999997834, -38.67242999999871 -7.65838999999869, -38.67861999999877 -7.64614999999867, -38.68638999999894 -7.634629999998651, -38.69 -7.633759697295592, -38.69 -7.627999999999999, -38.64 -7.627999999999999, -38.64 -7.678, -38.641662853906965 -7.678, -38.64173 -7.677229999999327))"
12,POINT (-38.665 -7.603),"POLYGON ((-38.69 -7.628, -38.64 -7.628, -38.64 -7.577999999999999, -38.69 -7.577999999999999, -38.69 -7.628))",Conceição,"POLYGON ((-38.688459999999395 -7.581779999998616, -38.68391487935767 -7.577999999999999, -38.64 -7.577999999999999, -38.64 -7.628, -38.69 -7.628, -38.69 -7.581649434781213, -38.688459999999395 -7.581779999998616))"
13,POINT (-38.665 -7.553),"POLYGON ((-38.69 -7.578, -38.64 -7.578, -38.64 -7.528, -38.69 -7.528, -38.69 -7.578))",Conceição,"POLYGON ((-38.67948999999862 -7.574319999997897, -38.67410999999811 -7.568919999997888, -38.654969999997775 -7.565139999998792, -38.65877999999793 -7.560209999997824, -38.65321999999833 -7.554159999997864, -38.65612999999939 -7.545789999998306, -38.652359999998225 -7.539269999999306, -38.65120166806899 -7.528, -38.64 -7.528, -38.64 -7.578, -38.68391487935767 -7.578, -38.67948999999862 -7.574319999997897))"
14,POINT (-38.665 -7.503),"POLYGON ((-38.69 -7.5280000000000005, -38.64 -7.5280000000000005, -38.64 -7.478, -38.69 -7.478, -38.69 -7.5280000000000005))",Conceição,"POLYGON ((-38.65113999999812 -7.527399999999034, -38.65429999999833 -7.521819999998115, -38.64611999999943 -7.51712999999836, -38.64563999999882 -7.501519999997981, -38.64 -7.496063141153008, -38.64 -7.5280000000000005, -38.65120166806899 -7.5280000000000005, -38.65113999999812 -7.527399999999034))"
15,POINT (-38.665 -7.453),"POLYGON ((-38.69 -7.478000000000001, -38.64 -7.478000000000001, -38.64 -7.428, -38.69 -7.428, -38.69 -7.478000000000001))",Conceição,"POLYGON ((-38.64133999999831 -7.464559999998528, -38.64581999999791 -7.462929999997868, -38.64455999999882 -7.459609999998065, -38.64 -7.459344666985516, -38.64 -7.466854207832636, -38.64133999999831 -7.464559999998528))"
16,POINT (-38.665 -7.203),"POLYGON ((-38.69 -7.228000000000001, -38.64 -7.228000000000001, -38.64 -7.178, -38.69 -7.178, -38.69 -7.228000000000001))",Monte Horebe,"POLYGON ((-38.643849999998565 -7.183359999999084, -38.67305999999917 -7.184889999998632, -38.687479999998686 -7.189759999999296, -38.68348259520339 -7.178, -38.64 -7.178, -38.64 -7.188387647055645, -38.643849999998565 -7.183359999999084))"
17,POINT (-38.665 -7.153),"POLYGON ((-38.69 -7.178, -38.64 -7.178, -38.64 -7.127999999999999, -38.69 -7.127999999999999, -38.69 -7.178))",São José de Piranhas,"POLYGON ((-38.68265999999858 -7.175579999999172, -38.67677999999796 -7.170529999999417, -38.67635999999766 -7.167169999998805, -38.684839999998076 -7.160939999997936, -38.67493999999897 -7.155319999998028, -38.67457999999897 -7.143409999998767, -38.677059999998164 -7.130529999998544, -38.675411131520114 -7.127999999999999, -38.64 -7.127999999999999, -38.64 -7.178, -38.68348259520339 -7.178, -38.68265999999858 -7.175579999999172))"
18,POINT (-38.665 -7.103),"POLYGON ((-38.69 -7.128, -38.64 -7.128, -38.64 -7.077999999999999, -38.69 -7.077999999999999, -38.69 -7.128))",São José de Piranhas,"POLYGON ((-38.6681899999985 -7.116919999998572, -38.66179999999804 -7.109779999998864, -38.65679999999884 -7.09386, -38.6594499999992 -7.085139999999228, -38.6663299999982 -7.081279999998515, -38.66773319282251 -7.077999999999999, -38.64 -7.077999999999999, -38.64 -7.128, -38.675411131520114 -7.128, -38.6681899999985 -7.116919999998572))"
19,POINT (-38.665 -7.053),"POLYGON ((-38.69 -7.078, -38.64 -7.078, -38.64 -7.028, -38.69 -7.028, -38.69 -7.078))",Cachoeira dos Índios,"POLYGON ((-38.67109999999775 -7.070129999998244, -38.67688999999882 -7.0667, -38.66949999999815 -7.047299999998359, -38.67265999999836 -7.045829999999114, -38.68944999999803 -7.039829999997892, -38.69 -7.036110792668463, -38.69 -7.028, -38.64 -7.028, -38.64 -7.078, -38.66773319282251 -7.078, -38.67109999999775 -7.070129999998244))"
20,POINT (-38.665 -7.003),"POLYGON ((-38.69 -7.0280000000000005, -38.64 -7.0280000000000005, -38.64 -6.978, -38.69 -6.978, -38.69 -7.0280000000000005))",Cachoeira dos Índios,"POLYGON ((-38.69 -6.978, -38.64 -6.978, -38.64 -7.0280000000000005, -38.69 -7.0280000000000005, -38.69 -6.978))"
21,POINT (-38.665 -6.953),"POLYGON ((-38.69 -6.978000000000001, -38.64 -6.978000000000001, -38.64 -6.928, -38.69 -6.928, -38.69 -6.978000000000001))",Cachoeira dos Índios,"POLYGON ((-38.69 -6.928, -38.64 -6.928, -38.64 -6.978000000000001, -38.69 -6.978000000000001, -38.69 -6.928))"
22,POINT (-38.665 -6.903),"POLYGON ((-38.69 -6.928, -38.64 -6.928, -38.64 -6.877999999999999, -38.69 -6.877999999999999, -38.69 -6.928))",Cachoeira dos Índios,"POLYGON ((-38.69 -6.877999999999999, -38.64 -6.877999999999999, -38.64 -6.928, -38.69 -6.928, -38.69 -6.877999999999999))"
23,POINT (-38.665 -6.853),"POLYGON ((-38.69 -6.878, -38.64 -6.878, -38.64 -6.827999999999999, -38.69 -6.827999999999999, -38.69 -6.878))",Bom Jesus,"POLYGON ((-38.68633999999838 -6.865389999999024, -38.67816999999923 -6.863659999999072, -38.67505999999776 -6.861429999999018, -38.67684999999801 -6.853929999999309, -38.67191999999886 -6.846579999999449, -38.66997999999876 -6.842969999997877, -38.67758999999933 -6.834109999997963, -38.67521999999917 -6.82981, -38.67139765696753 -6.827999999999999, -38.64 -6.827999999999999, -38.64 -6.878, -38.69 -6.878, -38.69 -6.868273717201227, -38.68633999999838 -6.865389999999024))"
24,POINT (-38.665 -6.803),"POLYGON ((-38.69 -6.828, -38.64 -6.828, -38.64 -6.778, -38.69 -6.778, -38.69 -6.828))",Bom Jesus,"MULTIPOLYGON (((-38.66142999999829 -6.823279999998704, -38.65751999999884 -6.81615999999849, -38.65526999999929 -6.813759999999093, -38.654419999998936 -6.812859999998182, -38.64807999999903 -6.806979999999385, -38.64 -6.805260585966421, -38.64 -6.828, -38.67139765696753 -6.828, -38.66142999999829 -6.823279999998704)), ((-38.641969999998764 -6.791279999997641, -38.64 -6.789040136987388, -38.64 -6.794996005826632, -38.641969999998764 -6.791279999997641)))"
25,POINT (-38.665 -6.753),"POLYGON ((-38.69 -6.7780000000000005, -38.64 -6.7780000000000005, -38.64 -6.728, -38.69 -6.728, -38.69 -6.7780000000000005))",Santa Helena,"POLYGON ((-38.65232999999898 -6.759359999998196, -38.65204999999878 -6.756649999999354, -38.64961999999832 -6.751839999998992, -38.657179999998334 -6.740359999997963, -38.655619999997725 -6.729839999998148, -38.657445886860735 -6.728, -38.64 -6.728, -38.64 -6.7635593478240805, -38.65232999999898 -6.759359999998196))"
26,POINT (-38.665 -6.703),"POLYGON ((-38.69 -6.728000000000001, -38.64 -6.728000000000001, -38.64 -6.678, -38.69 -6.678, -38.69 -6.728000000000001))",Santa Helena,"POLYGON ((-38.6659699999982 -6.719409999997879, -38.67251999999826 -6.706319999999323, -38.66967999999906 -6.702149999999165, -38.67279999999846 -6.696819999999207, -38.66410999999789 -6.67978999999832, -38.66022999999768 -6.678399999998874, -38.66038892856872 -6.678, -38.64 -6.678, -38.64 -6.728000000000001, -38.657445886860735 -6.728000000000001, -38.6659699999982 -6.719409999997879))"
27,POINT (-38.665 -6.653),"POLYGON ((-38.69 -6.678, -38.64 -6.678, -38.64 -6.627999999999999, -38.69 -6.627999999999999, -38.69 -6.678))",Santa Helena,"POLYGON ((-38.66200999999819 -6.673919999999271, -38.65160999999898 -6.672779999998966, -38.646859999998924 -6.663599999998041, -38.64660999999796 -6.653809999997975, -38.65672999999879 -6.641889999998966, -38.65491 -6.630079999998998, -38.65049809688591 -6.627999999999999, -38.64 -6.627999999999999, -38.64 -6.678, -38.66038892856872 -6.678, -38.66200999999819 -6.673919999999271))"
28,POINT (-38.665 -6.603),"POLYGON ((-38.69 -6.628, -38.64 -6.628, -38.64 -6.577999999999999, -38.69 -6.577999999999999, -38.69 -6.628))",Santa Helena,"MULTIPOLYGON (((-38.648779999997714 -6.627189999999246, -38.646309999998266 -6.615579999997863, -38.64 -6.6114694857134735, -38.64 -6.628, -38.65049809688592 -6.628, -38.648779999997714 -6.627189999999246)), ((-38.64249999999811 -6.580779999998413, -38.64023094402634 -6.577999999999999, -38.64 -6.577999999999999, -38.64 -6.583071870711584, -38.64249999999811 -6.580779999998413)))"
29,POINT (-38.665 -6.553),"POLYGON ((-38.69 -6.578, -38.64 -6.578, -38.64 -6.528, -38.69 -6.528, -38.69 -6.578))",Triunfo,"POLYGON ((-38.64 -6.5777170522010655, -38.64 -6.578, -38.64023094402634 -6.578, -38.64 -6.5777170522010655))"
30,POINT (-38.615 -7.753),"POLYGON ((-38.64 -7.7780000000000005, -38.59 -7.7780000000000005, -38.59 -7.728, -38.64 -7.728, -38.64 -7.7780000000000005))",Santa Inês,"POLYGON ((-38.59326999999939 -7.753939999998693, -38.59737999999925 -7.741629999998622, -38.60721999999805 -7.73906999999781, -38.607539090907984 -7.728, -38.59 -7.728, -38.59 -7.755125040869625, -38.59326999999939 -7.753939999998693))"
31,POINT (-38.615 -7.703),"POLYGON ((-38.64 -7.728000000000001, -38.59 -7.728000000000001, -38.59 -7.678, -38.64 -7.678, -38.64 -7.728000000000001))",Santa Inês,"POLYGON ((-38.60760999999911 -7.725539999999455, -38.61635999999817 -7.713079999997717, -38.62496999999894 -7.707909999999174, -38.62607999999818 -7.694319999998697, -38.64 -7.686592903223337, -38.64 -7.678, -38.59 -7.678, -38.59 -7.728000000000001, -38.607539090907984 -7.728000000000001, -38.60760999999911 -7.725539999999455))"
32,POINT (-38.615 -7.653),"POLYGON ((-38.64 -7.678, -38.59 -7.678, -38.59 -7.627999999999999, -38.64 -7.627999999999999, -38.64 -7.678))",Santa Inês,"POLYGON ((-38.64 -7.627999999999999, -38.59 -7.627999999999999, -38.59 -7.678, -38.64 -7.678, -38.64 -7.627999999999999))"
33,POINT (-38.615 -7.603),"POLYGON ((-38.64 -7.628, -38.59 -7.628, -38.59 -7.577999999999999, -38.64 -7.577999999999999, -38.64 -7.628))",Conceição,"POLYGON ((-38.64 -7.577999999999999, -38.59 -7.577999999999999, -38.59 -7.628, -38.64 -7.628, -38.64 -7.577999999999999))"
34,POINT (-38.615 -7.553),"POLYGON ((-38.64 -7.578, -38.59 -7.578, -38.59 -7.528, -38.64 -7.528, -38.64 -7.578))",Conceição,"POLYGON ((-38.64 -7.528, -38.59 -7.528, -38.59 -7.578, -38.64 -7.578, -38.64 -7.528))"
35,POINT (-38.615 -7.503),"POLYGON ((-38.64 -7.5280000000000005, -38.59 -7.5280000000000005, -38.59 -7.478, -38.64 -7.478, -38.64 -7.5280000000000005))",Conceição,"POLYGON ((-38.63054999999804 -7.486919999999373, -38.634115101542115 -7.478, -38.59 -7.478, -38.59 -7.5280000000000005, -38.64 -7.5280000000000005, -38.64 -7.496063141153008, -38.63054999999804 -7.486919999999373))"
36,POINT (-38.615 -7.453),"POLYGON ((-38.64 -7.478000000000001, -38.59 -7.478000000000001, -38.59 -7.428, -38.64 -7.428, -38.64 -7.478000000000001))",Conceição,"POLYGON ((-38.63546999999926 -7.474609999999302, -38.64 -7.466854207832636, -38.64 -7.459344666985516, -38.602969999998095 -7.457189999999173, -38.60248999999931 -7.453149999999368, -38.60544999999911 -7.444169999998849, -38.595719999999346 -7.438219999998182, -38.59465999999884 -7.433529999998427, -38.59 -7.4332008550175654, -38.59 -7.478000000000001, -38.634115101542115 -7.478000000000001, -38.63546999999926 -7.474609999999302))"
37,POINT (-38.615 -7.403),"POLYGON ((-38.64 -7.428, -38.59 -7.428, -38.59 -7.377999999999999, -38.64 -7.377999999999999, -38.64 -7.428))",Conceição,"POLYGON ((-38.59576999999808 -7.414349999999104, -38.59002999999939 -7.400779999998122, -38.59 -7.4007668141576906, -38.59 -7.415143809113064, -38.59576999999808 -7.414349999999104))"
38,POINT (-38.615 -7.253),"POLYGON ((-38.64 -7.2780000000000005, -38.59 -7.2780000000000005, -38.59 -7.228, -38.64 -7.228, -38.64 -7.2780000000000005))",Monte Horebe,"POLYGON ((-38.59475999999813 -7.246119999997973, -38.600289999998495 -7.23435999999856, -38.605069999997795 -7.236469999998008, -38.61500999999771 -7.229779999997845, -38.61577205073706 -7.228, -38.59 -7.228, -38.59 -7.246855960097563, -38.59475999999813 -7.246119999997973))"
39,POINT (-38.615 -7.203),"POLYGON ((-38.64 -7.228000000000001, -38.59 -7.228000000000001, -38.59 -7.178, -38.64 -7.178, -38.64 -7.228000000000001))",Monte Horebe,"POLYGON ((-38.61905999999908 -7.220319999998537, -38.622699999998076 -7.207269999998971, -38.619439999998576 -7.196649999998044, -38.62444999999934 -7.190919999999096, -38.63619999999901 -7.193349999997736, -38.64 -7.188387647055645, -38.64 -7.178, -38.59 -7.178, -38.59 -7.228000000000001, -38.61577205073706 -7.228000000000001, -38.61905999999908 -7.220319999998537))"
40,POINT (-38.615 -7.153),"POLYGON ((-38.64 -7.178, -38.59 -7.178, -38.59 -7.127999999999999, -38.64 -7.127999999999999, -38.64 -7.178))",São José de Piranhas,"POLYGON ((-38.64 -7.127999999999999, -38.59 -7.127999999999999, -38.59 -7.178, -38.64 -7.178, -38.64 -7.127999999999999))"
41,POINT (-38.615 -7.103),"POLYGON ((-38.64 -7.128, -38.59 -7.128, -38.59 -7.077999999999999, -38.64 -7.077999999999999, -38.64 -7.128))",São José de Piranhas,"POLYGON ((-38.64 -7.077999999999999, -38.59 -7.077999999999999, -38.59 -7.128, -38.64 -7.128, -38.64 -7.077999999999999))"
42,POINT (-38.615 -7.053),"POLYGON ((-38.64 -7.078, -38.59 -7.078, -38.59 -7.028, -38.64 -7.028, -38.64 -7.078))",Cajazeiras,"POLYGON ((-38.64 -7.028, -38.59 -7.028, -38.59 -7.078, -38.64 -7.078, -38.64 -7.028))"
43,POINT (-38.615 -7.003),"POLYGON ((-38.64 -7.0280000000000005, -38.59 -7.0280000000000005, -38.59 -6.978, -38.64 -6.978, -38.64 -7.0280000000000005))",Cajazeiras,"POLYGON ((-38.64 -6.978, -38.59 -6.978, -38.59 -7.0280000000000005, -38.64 -7.0280000000000005, -38.64 -6.978))"
44,POINT (-38.615 -6.953),"POLYGON ((-38.64 -6.978000000000001, -38.59 -6.978000000000001, -38.59 -6.928, -38.64 -6.928, -38.64 -6.978000000000001))",Cajazeiras,"POLYGON ((-38.64 -6.928, -38.59 -6.928, -38.59 -6.978000000000001, -38.64 -6.978000000000001, -38.64 -6.928))"
45,POINT (-38.615 -6.903),"POLYGON ((-38.64 -6.928, -38.59 -6.928, -38.59 -6.877999999999999, -38.64 -6.877999999999999, -38.64 -6.928))",Cajazeiras,"POLYGON ((-38.64 -6.877999999999999, -38.59 -6.877999999999999, -38.59 -6.928, -38.64 -6.928, -38.64 -6.877999999999999))"
46,POINT (-38.615 -6.853),"POLYGON ((-38.64 -6.878, -38.59 -6.878, -38.59 -6.827999999999999, -38.64 -6.827999999999999, -38.64 -6.878))",Bom Jesus,"POLYGON ((-38.64 -6.827999999999999, -38.59 -6.827999999999999, -38.59 -6.878, -38.64 -6.878, -38.64 -6.827999999999999))"
47,POINT (-38.615 -6.803),"POLYGON ((-38.64 -6.828, -38.59 -6.828, -38.59 -6.778, -38.64 -6.778, -38.64 -6.828))",Bom Jesus,"POLYGON ((-38.63510999999926 -6.804219999998168, -38.64 -6.794996005826632, -38.64 -6.789040136987388, -38.6397799999977 -6.788789999998698, -38.62911999999778 -6.789499999998952, -38.61705999999867 -6.793579999997746, -38.61356999999771 -6.782039999998233, -38.62646725157661 -6.778, -38.59 -6.778, -38.59 -6.828, -38.64 -6.828, -38.64 -6.805260585966421, -38.63510999999926 -6.804219999998168))"
48,POINT (-38.615 -6.753),"POLYGON ((-38.64 -6.7780000000000005, -38.59 -6.7780000000000005, -38.59 -6.728, -38.64 -6.728, -38.64 -6.7780000000000005))",Santa Helena,"POLYGON ((-38.62866999999824 -6.777309999997669, -38.63990999999805 -6.763589999998658, -38.64 -6.7635593478240805, -38.64 -6.728, -38.59 -6.728, -38.59 -6.7780000000000005, -38.62646725157661 -6.7780000000000005, -38.62866999999824 -6.777309999997669))"
49,POINT (-38.615 -6.703),"POLYGON ((-38.64 -6.728000000000001, -38.59 -6.728000000000001, -38.59 -6.678, -38.64 -6.678, -38.64 -6.728000000000001))",Santa Helena,"POLYGON ((-38.64 -6.678, -38.59 -6.678, -38.59 -6.728000000000001, -38.64 -6.728000000000001, -38.64 -6.678))"
50,POINT (-38.615 -6.653),"POLYGON ((-38.64 -6.678, -38.59 -6.678, -38.59 -6.627999999999999, -38.64 -6.627999999999999, -38.64 -6.678))",Santa Helena,"POLYGON ((-38.64 -6.627999999999999, -38.59 -6.627999999999999, -38.59 -6.678, -38.64 -6.678, -38.64 -6.627999999999999))"
51,POINT (-38.615 -6.603),"POLYGON ((-38.64 -6.628, -38.59 -6.628, -38.59 -6.577999999999999, -38.64 -6.577999999999999, -38.64 -6.628))",Triunfo,"POLYGON ((-38.62880999999834 -6.604179999998451, -38.63228999999774 -6.590139999998428, -38.64 -6.583071870711584, -38.64 -6.577999999999999, -38.59 -6.577999999999999, -38.59 -6.628, -38.64 -6.628, -38.64 -6.6114694857134735, -38.62880999999834 -6.604179999998451))"
52,POINT (-38.615 -6.553),"POLYGON ((-38.64 -6.578, -38.59 -6.578, -38.59 -6.528, -38.64 -6.528, -38.64 -6.578))",Bernardino Batista,"POLYGON ((-38.632729999999356 -6.568809999998848, -38.63227999999799 -6.562039999998888, -38.625309999999445 -6.557579999998779, -38.626249999999345 -6.552559999998266, -38.6067299999977 -6.529119999999239, -38.61016999999811 -6.531889999998384, -38.61542243961122 -6.528, -38.59 -6.528, -38.59 -6.578, -38.64 -6.578, -38.64 -6.5777170522010655, -38.632729999999356 -6.568809999998848))"
53,POINT (-38.615 -6.503),"POLYGON ((-38.64 -6.5280000000000005, -38.59 -6.5280000000000005, -38.59 -6.478, -38.64 -6.478, -38.64 -6.5280000000000005))",Bernardino Batista,"POLYGON ((-38.61575999999877 -6.527749999999287, -38.61193999999887 -6.512789999998859, -38.59461999999803 -6.50003999999899, -38.59 -6.494351530945997, -38.59 -6.5280000000000005, -38.61542243961122 -6.5280000000000005, -38.61575999999877 -6.527749999999287))"
54,POINT (-38.615 -6.403),"POLYGON ((-38.64 -6.428, -38.59 -6.428, -38.59 -6.377999999999999, -38.64 -6.377999999999999, -38.64 -6.428))",Poço Dantas,"POLYGON ((-38.59377999999924 -6.396459999998115, -38.60168999999769 -6.389219999999113, -38.59458999999879 -6.386169999997946, -38.59215471153657 -6.377999999999999, -38.59 -6.377999999999999, -38.59 -6.395456182570635, -38.59377999999924 -6.396459999998115))"
55,POINT (-38.615 -6.353),"POLYGON ((-38.64 -6.378, -38.59 -6.378, -38.59 -6.327999999999999, -38.64 -6.327999999999999, -38.64 -6.378))",Poço Dantas,"POLYGON ((-38.592109999997774 -6.377849999998944, -38.59 -6.3769171578944075, -38.59 -6.378, -38.59215471153657 -6.378, -38.592109999997774 -6.377849999998944))"
56,POINT (-38.565 -7.753),"POLYGON ((-38.589999999999996 -7.7780000000000005, -38.54 -7.7780000000000005, -38.54 -7.728, -38.589999999999996 -7.728, -38.589999999999996 -7.7780000000000005))",Santa Inês,"POLYGON ((-38.54583999999886 -7.749039999998786, -38.55977999999777 -7.756679999998596, -38.571749999999156 -7.751069999998435, -38.574469999997746 -7.753929999998945, -38.57867999999871 -7.746189999998023, -38.589599999999336 -7.755269999997836, -38.589999999999996 -7.755125040869627, -38.589999999999996 -7.728, -38.54 -7.728, -38.54 -7.751042083583775, -38.54583999999886 -7.749039999998786))"
57,POINT (-38.565 -7.703),"POLYGON ((-38.589999999999996 -7.728000000000001, -38.54 -7.728000000000001, -38.54 -7.678, -38.589999999999996 -7.678, -38.589999999999996 -7.728000000000001))",Santa Inês,"POLYGON ((-38.589999999999996 -7.678, -38.54 -7.678, -38.54 -7.728000000000001, -38.589999999999996 -7.728000000000001, -38.589999999999996 -7.678))"
58,POINT (-38.565 -7.653),"POLYGON ((-38.589999999999996 -7.678, -38.54 -7.678, -38.54 -7.627999999999999, -38.589999999999996 -7.627999999999999, -38.589999999999996 -7.678))",Santa Inês,"POLYGON ((-38.589999999999996 -7.627999999999999, -38.54 -7.627999999999999, -38.54 -7.678, -38.589999999999996 -7.678, -38.589999999999996 -7.627999999999999))"
59,POINT (-38.565 -7.603),"POLYGON ((-38.589999999999996 -7.628, -38.54 -7.628, -38.54 -7.577999999999999, -38.589999999999996 -7.577999999999999, -38.589999999999996 -7.628))",Conceição,"POLYGON ((-38.589999999999996 -7.577999999999999, -38.54 -7.577999999999999, -38.54 -7.628, -38.589999999999996 -7.628, -38.589999999999996 -7.577999999999999))"
60,POINT (-38.565 -7.553),"POLYGON ((-38.589999999999996 -7.578, -38.54 -7.578, -38.54 -7.528, -38.589999999999996 -7.528, -38.589999999999996 -7.578))",Conceição,"POLYGON ((-38.589999999999996 -7.528, -38.54 -7.528, -38.54 -7.578, -38.589999999999996 -7.578, -38.589999999999996 -7.528))"
61,POINT (-38.565 -7.503),"POLYGON ((-38.589999999999996 -7.5280000000000005, -38.54 -7.5280000000000005, -38.54 -7.478, -38.589999999999996 -7.478, -38.589999999999996 -7.5280000000000005))",Conceição,"POLYGON ((-38.589999999999996 -7.478, -38.54 -7.478, -38.54 -7.5280000000000005, -38.589999999999996 -7.5280000000000005, -38.589999999999996 -7.478))"
