,center_point,envelope,Nome_Munic,geometry
438,POINT (-37.915 -7.003),"POLYGON ((-37.94 -7.0280000000000005, -37.89 -7.0280000000000005, -37.89 -6.978, -37.94 -6.978, -37.94 -7.0280000000000005))",Cajazeirinhas,"POLYGON ((-37.94 -6.978, -37.89 -6.978, -37.89 -7.0280000000000005, -37.94 -7.0280000000000005, -37.94 -6.978))"
439,POINT (-37.915 -6.953),"POLYGON ((-37.94 -6.978000000000001, -37.89 -6.978000000000001, -37.89 -6.928, -37.94 -6.928, -37.94 -6.978000000000001))",Cajazeirinhas,"POLYGON ((-37.94 -6.928, -37.89 -6.928, -37.89 -6.978000000000001, -37.94 -6.978000000000001, -37.94 -6.928))"
440,POINT (-37.915 -6.903),"POLYGON ((-37.94 -6.928, -37.89 -6.928, -37.89 -6.877999999999999, -37.94 -6.877999999999999, -37.94 -6.928))",Pombal,"POLYGON ((-37.94 -6.877999999999999, -37.89 -6.877999999999999, -37.89 -6.928, -37.94 -6.928, -37.94 -6.877999999999999))"
441,POINT (-37.915 -6.853),"POLYGON ((-37.94 -6.878, -37.89 -6.878, -37.89 -6.827999999999999, -37.94 -6.827999999999999, -37.94 -6.878))",Pombal,"POLYGON ((-37.94 -6.827999999999999, -37.89 -6.827999999999999, -37.89 -6.878, -37.94 -6.878, -37.94 -6.827999999999999))"
442,POINT (-37.915 -6.803),"POLYGON ((-37.94 -6.828, -37.89 -6.828, -37.89 -6.778, -37.94 -6.778, -37.94 -6.828))",Pombal,"POLYGON ((-37.94 -6.778, -37.89 -6.778, -37.89 -6.828, -37.94 -6.828, -37.94 -6.778))"
443,POINT (-37.915 -6.753),"POLYGON ((-37.94 -6.7780000000000005, -37.89 -6.7780000000000005, -37.89 -6.728, -37.94 -6.728, -37.94 -6.7780000000000005))",Pombal,"POLYGON ((-37.94 -6.728, -37.89 -6.728, -37.89 -6.7780000000000005, -37.94 -6.7780000000000005, -37.94 -6.728))"
444,POINT (-37.915 -6.703),"POLYGON ((-37.94 -6.728000000000001, -37.89 -6.728000000000001, -37.89 -6.678, -37.94 -6.678, -37.94 -6.728000000000001))",Pombal,"POLYGON ((-37.94 -6.678, -37.89 -6.678, -37.89 -6.728000000000001, -37.94 -6.728000000000001, -37.94 -6.678))"
445,POINT (-37.915 -6.653),"POLYGON ((-37.94 -6.678, -37.89 -6.678, -37.89 -6.627999999999999, -37.94 -6.627999999999999, -37.94 -6.678))",Lagoa,"POLYGON ((-37.94 -6.627999999999999, -37.89 -6.627999999999999, -37.89 -6.678, -37.94 -6.678, -37.94 -6.627999999999999))"
446,POINT (-37.915 -6.603),"POLYGON ((-37.94 -6.628, -37.89 -6.628, -37.89 -6.577999999999999, -37.94 -6.577999999999999, -37.94 -6.628))",Lagoa,"POLYGON ((-37.94 -6.577999999999999, -37.89 -6.577999999999999, -37.89 -6.628, -37.94 -6.628, -37.94 -6.577999999999999))"
447,POINT (-37.915 -6.553),"POLYGON ((-37.94 -6.578, -37.89 -6.578, -37.89 -6.528, -37.94 -6.528, -37.94 -6.578))",Bom Sucesso,"POLYGON ((-37.94 -6.528, -37.89 -6.528, -37.89 -6.578, -37.94 -6.578, -37.94 -6.528))"
448,POINT (-37.915 -6.503),"POLYGON ((-37.94 -6.5280000000000005, -37.89 -6.5280000000000005, -37.89 -6.478, -37.94 -6.478, -37.94 -6.5280000000000005))",Bom Sucesso,"POLYGON ((-37.94 -6.478, -37.89 -6.478, -37.89 -6.5280000000000005, -37.94 -6.5280000000000005, -37.94 -6.478))"
449,POINT (-37.915 -6.453),"POLYGON ((-37.94 -6.478000000000001, -37.89 -6.478000000000001, -37.89 -6.428, -37.94 -6.428, -37.94 -6.478000000000001))",Bom Sucesso,"POLYGON ((-37.94 -6.428, -37.89 -6.428, -37.89 -6.478000000000001, -37.94 -6.478000000000001, -37.94 -6.428))"
450,POINT (-37.915 -6.403),"POLYGON ((-37.94 -6.428, -37.89 -6.428, -37.89 -6.377999999999999, -37.94 -6.377999999999999, -37.94 -6.428))",Bom Sucesso,"POLYGON ((-37.92776999999842 -6.421189999999115, -37.91909999999916 -6.41125, -37.90118999999868 -6.399279999997816, -37.89 -6.399736329786075, -37.89 -6.428, -37.94 -6.428, -37.94 -6.421917303693933, -37.92776999999842 -6.421189999999115))"
451,POINT (-37.865 -7.703),"POLYGON ((-37.89 -7.728000000000001, -37.84 -7.728000000000001, -37.84 -7.678, -37.89 -7.678, -37.89 -7.728000000000001))",Tavares,"POLYGON ((-37.88024999999834 -7.683239999998477, -37.89 -7.687416909307258, -37.89 -7.678, -37.876683934119654 -7.678, -37.88024999999834 -7.683239999998477))"
