center_point;envelope
POINT (-38.55784979290044 -6.701301336965827);POLYGON ((-38.63600063369281 -6.802539999998777, -38.64196999999876 -6.791279999997641, -38.6397799999977 -6.788789999998698, -38.62911999999778 -6.789499999998952, -38.61705999999867 -6.793579999997746, -38.61356999999771 -6.782039999998233, -38.62866999999824 -6.777309999997669, -38.63990999999805 -6.763589999998658, -38.65232999999898 -6.759359999998196, -38.65204999999878 -6.756649999999354, -38.64961999999832 -6.751839999998992, -38.65717999999833 -6.740359999997963, -38.65561999999773 -6.729839999998148, -38.66498999999785 -6.720397574877436, -38.66498999999785 -6.681514556960243, -38.66410999999789 -6.67978999999832, -38.66022999999768 -6.678399999998874, -38.66200999999819 -6.673919999999271, -38.65160999999898 -6.672779999998966, -38.64685999999892 -6.663599999998041, -38.64660999999796 -6.653809999997975, -38.65672999999879 -6.641889999998966, -38.65491 -6.630079999998998, -38.64877999999771 -6.627189999999246, -38.64630999999827 -6.615579999997863, -38.62880999999834 -6.604179999998451, -38.62921649572468 -6.602539999998777, -38.46498999999785 -6.602539999998777, -38.46498999999785 -6.802539999998777, -38.63600063369281 -6.802539999998777))
POINT (-38.5335462794765 -6.51805475276876);MULTIPOLYGON (((-38.62921649572468 -6.602539999998777, -38.63228999999774 -6.590139999998428, -38.64249999999811 -6.580779999998413, -38.63272999999936 -6.568809999998848, -38.63227999999799 -6.562039999998888, -38.62530999999944 -6.557579999998779, -38.62624999999935 -6.552559999998266, -38.6067299999977 -6.529119999999239, -38.61016999999811 -6.531889999998384, -38.61575999999877 -6.527749999999287, -38.61193999999887 -6.512789999998859, -38.59461999999803 -6.50003999999899, -38.57005999999819 -6.469799999998941, -38.5694599999988 -6.454479999998512, -38.56529999999839 -6.451109999998152, -38.55604999999923 -6.447239999997691, -38.55508999999802 -6.437109999998938, -38.55390999999872 -6.43235999999888, -38.52415999999903 -6.406679999998232, -38.51755999999841 -6.408329999998386, -38.52103399999863 -6.402539999998778, -38.46498999999785 -6.402539999998778, -38.46498999999785 -6.602539999998777, -38.62921649572468 -6.602539999998777)), ((-38.56971623445616 -6.402539999998778, -38.5730599999988 -6.403399999999237, -38.57713318681147 -6.402539999998778, -38.56971623445616 -6.402539999998778)))
POINT (-38.52945427152383 -6.374786170326791);POLYGON ((-38.52103399999863 -6.402539999998778, -38.52595999999903 -6.394329999999172, -38.53047999999944 -6.392729999997755, -38.54235999999764 -6.401579999997921, -38.55116999999882 -6.397769999997763, -38.56971623445616 -6.402539999998778, -38.57713318681147 -6.402539999998778, -38.57736999999906 -6.402489999998579, -38.58199999999852 -6.399909999998272, -38.58118999999897 -6.396329999997761, -38.58895999999913 -6.395179999997708, -38.59377999999924 -6.396459999998115, -38.60168999999769 -6.389219999999113, -38.59458999999879 -6.386169999997946, -38.59210999999777 -6.377849999998944, -38.58260999999766 -6.373649999997724, -38.57275 -6.374519999999393, -38.57571999999891 -6.36229, -38.5669999999991 -6.361129999999321, -38.56490999999914 -6.356299999997646, -38.56295999999929 -6.3556299999982, -38.5447099999983 -6.353359999999157, -38.54949999999917 -6.350299999998242, -38.54465999999775 -6.34418999999798, -38.53375999999844 -6.341529999997874, -38.51624999999876 -6.345839999998134, -38.50507 -6.356109999998807, -38.49381999999787 -6.344419999999445, -38.48455999999896 -6.339739999999438, -38.48087999999916 -6.336979999998221, -38.4746299999988 -6.332849999998871, -38.46498999999785 -6.331090409637425, -38.46498999999785 -6.335932661379816, -38.4756899999993 -6.345329999998285, -38.49017999999887 -6.365679999998974, -38.4827299999979 -6.380719999999201, -38.48587999999836 -6.398349999997663, -38.46545999999944 -6.396009999998569, -38.46498999999785 -6.39587600727087, -38.46498999999785 -6.402539999998778, -38.52103399999863 -6.402539999998778))
POINT (-38.27999720315928 -7.81566129618885);POLYGON ((-38.26498999999784 -7.827776908765996, -38.27587999999923 -7.833409999999276, -38.28643999999804 -7.829819999999017, -38.2973899999979 -7.813539999999193, -38.29946945205269 -7.802539999998773, -38.26498999999784 -7.802539999998773, -38.26498999999784 -7.827776908765996))
POINT (-38.35595838770632 -7.671200284111666);POLYGON ((-38.29946945205269 -7.802539999998773, -38.30221999999776 -7.787989999998899, -38.29517999999916 -7.779179999997723, -38.30089999999836 -7.768299999997907, -38.29946999999811 -7.762789999998859, -38.31640999999945 -7.7642, -38.30179999999928 -7.744799999998577, -38.31052999999883 -7.73866999999882, -38.31552999999803 -7.72805999999764, -38.31167999999889 -7.715909999998985, -38.31690999999773 -7.715119999998933, -38.31584999999905 -7.708739999998215, -38.32041999999819 -7.697549999998955, -38.32632999999805 -7.693299999998999, -38.33000999999786 -7.695739999999205, -38.33684999999787 -7.693169999998645, -38.34433999999783 -7.694589999999152, -38.35713999999825 -7.676749999998719, -38.36125999999786 -7.685899999998583, -38.36971999999878 -7.692239999998492, -38.37057999999888 -7.698009999998249, -38.3818999999985 -7.707069999998566, -38.40357999999833 -7.714029999999184, -38.40084999999817 -7.720109999998385, -38.40914999999768 -7.730079999999361, -38.4121299999988 -7.729699999998047, -38.42726999999832 -7.729629999997996, -38.43385999999919 -7.720039999998335, -38.44971999999871 -7.716959999997925, -38.45672999999806 -7.7177, -38.46361999999863 -7.730479999998352, -38.46498999999785 -7.730674534838128, -38.46498999999785 -7.602539999998774, -38.26498999999784 -7.602539999998774, -38.26498999999784 -7.802539999998773, -38.29946945205269 -7.802539999998773))
POINT (-38.36498999999785 -7.502539999998775);POLYGON ((-38.46498999999785 -7.602539999998774, -38.46498999999785 -7.402539999998774, -38.26498999999784 -7.402539999998774, -38.26498999999784 -7.602539999998774, -38.46498999999785 -7.602539999998774))
POINT (-38.36498999999785 -7.302539999998776);POLYGON ((-38.46498999999785 -7.402539999998774, -38.46498999999785 -7.202539999998775, -38.26498999999784 -7.202539999998775, -38.26498999999784 -7.402539999998774, -38.46498999999785 -7.402539999998774))
POINT (-38.36498999999785 -7.102539999998775);POLYGON ((-38.46498999999785 -7.202539999998775, -38.46498999999785 -7.002539999998776, -38.26498999999784 -7.002539999998776, -38.26498999999784 -7.202539999998775, -38.46498999999785 -7.202539999998775))
POINT (-38.36498999999785 -6.902539999998775);POLYGON ((-38.46498999999785 -7.002539999998776, -38.46498999999785 -6.802539999998777, -38.26498999999784 -6.802539999998777, -38.26498999999784 -7.002539999998776, -38.46498999999785 -7.002539999998776))
POINT (-38.36498999999785 -6.702539999998777);POLYGON ((-38.46498999999785 -6.802539999998777, -38.46498999999785 -6.602539999998777, -38.26498999999784 -6.602539999998777, -38.26498999999784 -6.802539999998777, -38.46498999999785 -6.802539999998777))
