;center_point;envelope
10;POINT (-73.09024991999999 -7.851583009999999);POLYGON ((-73.34024991999999 -8.101583009999999, -73.34024991999999 -7.601583009999999, -72.84024991999999 -7.601583009999999, -72.84024991999999 -8.101583009999999, -73.34024991999999 -8.101583009999999))
11;POINT (-73.09024991999999 -7.351583009999999);POLYGON ((-73.34024991999999 -7.601583009999999, -73.34024991999999 -7.101583009999999, -72.84024991999999 -7.101583009999999, -72.84024991999999 -7.601583009999999, -73.34024991999999 -7.601583009999999))
12;POINT (-73.09024991999999 -6.851583009999999);POLYGON ((-73.34024991999999 -7.101583009999999, -73.34024991999999 -6.601583009999999, -72.84024991999999 -6.601583009999999, -72.84024991999999 -7.101583009999999, -73.34024991999999 -7.101583009999999))
13;POINT (-73.01421768421734 -6.344647761254217);POLYGON ((-73.34024991999999 -6.593054954833624, -73.33706196 -6.59270601, -73.33122995999999 -6.59957103, -73.32528204 -6.59396898, -73.31023116 -6.59214297, -73.30097807999999 -6.59433096, -73.27988999999999 -6.58507896, -73.24658387999999 -6.58388799, -73.23261696 -6.57753201, -73.229562 -6.57013797, -73.22148 -6.56440101, -73.21911695999999 -6.57282402, -73.21239107999999 -6.57747198, -73.19979108 -6.56442099, -73.20466008 -6.55653897, -73.19755692 -6.55364997, -73.197693 -6.54412797, -73.18961388 -6.54485103, -73.18195308 -6.53965596, -73.18363896 -6.52720797, -73.17208583999999 -6.51788604, -73.16628084 -6.525657, -73.15878096 -6.52434399, -73.14203483999999 -6.50594601, -73.13784407999999 -6.49761003, -73.14119712 -6.49083897, -73.13866596 -6.48346896, -73.13167116 -6.467877, -73.12317299999999 -6.46292601, -73.12308588 -6.45442497, -73.11725316 -6.44947497, -73.12052412 -6.42792303, -73.11872195999999 -6.42354597, -73.11039 -6.41962197, -73.10829312 -6.40966599, -73.11641904 -6.39450504, -73.13294808000001 -6.38699796, -73.13866812000001 -6.36273, -73.14495192 -6.35592402, -73.15050816 -6.321339, -73.15769591999999 -6.32689902, -73.16047187999999 -6.31771902, -73.16100504000001 -6.29869104, -73.16549892 -6.29027496, -73.161486 -6.28264098, -73.16491608 -6.27384303, -73.18459 -6.25666698, -73.192365 -6.25593897, -73.19719908 -6.23931399, -73.20853007999999 -6.22620396, -73.218645 -6.221331, -73.21986612000001 -6.21184203, -73.216341 -6.202971, -73.21995396 -6.17816898, -73.24967484 -6.14457603, -73.25208791999999 -6.12951498, -73.25022384 -6.10455303, -73.24779104266031 -6.101583009999999, -72.84024991999999 -6.101583009999999, -72.84024991999999 -6.601583009999999, -73.34024991999999 -6.601583009999999, -73.34024991999999 -6.593054954833624))
14;POINT (-72.99225702483618 -5.901767359175779);POLYGON ((-73.24779104266031 -6.101583009999999, -73.23459912 -6.08547798, -73.23916284000001 -6.07917501, -73.23120504000001 -6.07320702, -73.23689591999999 -6.03182601, -73.22944788 -6.030405, -73.217313 -6.01942203, -73.21558607999999 -6.01146801, -73.20963888 -6.00467499, -73.20206015999999 -6.00495102, -73.18845 -5.99887098, -73.19352708 -5.98393602, -73.18120787999999 -5.96242404, -73.18609416 -5.95524699, -73.18727712 -5.93842302, -73.18239011999999 -5.93222598, -73.18095012000001 -5.92260399, -73.17314712 -5.92353702, -73.17366588 -5.91517503, -73.16773488 -5.90896098, -73.16939592 -5.89242402, -73.155294 -5.88219102, -73.16055 -5.87625804, -73.156392 -5.869053, -73.15047288 -5.86308501, -73.14264288 -5.86330803, -73.13706108 -5.85818901, -73.11408588 -5.85338697, -73.11647916 -5.82823503, -73.109673 -5.82386103, -73.09294992 -5.82134301, -73.09508508 -5.81295897, -73.07867411999999 -5.80566402, -73.06347492 -5.78891799, -73.05492 -5.788746, -73.05544187999999 -5.77151397, -73.04905583999999 -5.76566901, -73.041948 -5.74865901, -73.03414284 -5.75024103, -73.02003084 -5.73915096, -73.02111192 -5.73156999, -73.00231307999999 -5.72103702, -72.99814895999999 -5.71437396, -73.00340604 -5.70788298, -72.99161891999999 -5.70341502, -72.99213912 -5.69544102, -72.98442900000001 -5.69394, -72.98763984 -5.68543599, -72.98567208 -5.676957, -72.98980703999999 -5.668992, -72.98569584000001 -5.66194401, -72.97116696000001 -5.65687899, -72.96463799999999 -5.66134101, -72.96120504 -5.65421499, -72.96544584 -5.64501897, -72.96672312 -5.62922397, -72.97391592 -5.623704, -72.97264115999999 -5.60775204, -72.96981464374342 -5.601583009999999, -72.84024991999999 -5.601583009999999, -72.84024991999999 -6.101583009999999, -73.24779104266031 -6.101583009999999))
15;POINT (-72.88657695473873 -5.438625514897787);POLYGON ((-72.96981464374342 -5.601583009999999, -72.96581016 -5.592843, -72.95047883999999 -5.58397404, -72.95796108 -5.570451, -72.95139899999999 -5.56584003, -72.95663988 -5.55640596, -72.95319684 -5.53978503, -72.95995008 -5.52313098, -72.96319511999999 -5.49774099, -72.95745095999999 -5.49164799, -72.95633783999999 -5.46504498, -72.94786991999999 -5.45149404, -72.95040899999999 -5.44434201, -72.94192200000001 -5.44111596, -72.93532896000001 -5.41838196, -72.92883707999999 -5.41276002, -72.92856096 -5.40511497, -72.91986408 -5.38986996, -72.92016683999999 -5.38205499, -72.90644616 -5.37476697, -72.90875016 -5.365692, -72.89817011999999 -5.34582603, -72.89808408 -5.33666997, -72.88542396 -5.32266399, -72.88782587999999 -5.31292203, -72.87933384 -5.31048501, -72.86953607999999 -5.29898796, -72.87515784 -5.29305696, -72.86833403999999 -5.28874497, -72.86372711999999 -5.27291496, -72.86856084 -5.26608603, -72.87111 -5.25281499, -72.86294987999999 -5.23943001, -72.86647608 -5.23255104, -72.86328396 -5.21677404, -72.86525315999999 -5.209461, -72.87315912 -5.20632999, -72.86836716000001 -5.19946299, -72.87647616 -5.18525397, -72.87678287999999 -5.17721004, -72.88383888 -5.17437396, -72.88449696000001 -5.16645504, -72.87666804 -5.16219804, -72.87250103999999 -5.15571003, -72.86453315999999 -5.15536497, -72.85569588 -5.14318698, -72.84708504 -5.14222299, -72.84294503999999 -5.14961199, -72.84024991999999 -5.148610372311451, -72.84024991999999 -5.601583009999999, -72.96981464374342 -5.601583009999999))
16;POINT (-72.5770769848254 -9.283290325520605);POLYGON ((-72.34024991999999 -9.540189191278332, -72.34138512 -9.540549, -72.34253604 -9.544872959999999, -72.34870896 -9.54429399, -72.364428 -9.52947702, -72.36558504 -9.52093998, -72.37310796 -9.52004097, -72.36840312 -9.51369201, -72.37115892 -9.514477980000001, -72.37123200000001 -9.50887503, -72.36989712 -9.504579959999999, -72.378765 -9.502896959999999, -72.38701187999999 -9.49407903, -72.39218184000001 -9.49662099, -72.39533292 -9.489472019999999, -72.406854 -9.494396010000001, -72.41058396 -9.490291020000001, -72.41551308 -9.49109301, -72.41930207999999 -9.48607101, -72.425619 -9.486575009999999, -72.43621884 -9.476332019999999, -72.44145288 -9.481433040000001, -72.44727408 -9.48223503, -72.44986392 -9.479186009999999, -72.45503712 -9.48321999, -72.45724788 -9.48006702, -72.46323288000001 -9.479049030000001, -72.46360512 -9.482865029999999, -72.46856304000001 -9.48042396, -72.46955 -9.475379999999999, -72.47239884 -9.481047029999999, -72.476856 -9.478947959999999, -72.48098411999999 -9.480861989999999, -72.48248891999999 -9.48651804, -72.48607416 -9.48758499, -72.50344487999999 -9.48245796, -72.50835096 -9.48556701, -72.51495983999999 -9.48020904, -72.51653484000001 -9.483015959999999, -72.51716988 -9.47948004, -72.52382591999999 -9.483199020000001, -72.53035884000001 -9.482195969999999, -72.53197992 -9.485784990000001, -72.54234612 -9.48468798, -72.54608508 -9.491497020000001, -72.54996084 -9.48933504, -72.54944604000001 -9.48505698, -72.556614 -9.48286296, -72.55366992 -9.48104199, -72.55805291999999 -9.48001599, -72.55998612 -9.47451096, -72.56399508 -9.476027009999999, -72.56581308 -9.469815029999999, -72.56756304 -9.473271029999999, -72.57189312 -9.466201979999999, -72.57489984 -9.46868796, -72.58028796000001 -9.466707960000001, -72.581526 -9.47016999, -72.58425984 -9.466736040000001, -72.58813884 -9.47375604, -72.58802003999999 -9.46469997, -72.59433191999999 -9.466133040000001, -72.59446115999999 -9.46053, -72.60347016 -9.465783030000001, -72.60422004 -9.456845039999999, -72.610533 -9.46122201, -72.61957907999999 -9.45571698, -72.62379108 -9.45798102, -72.63741492 -9.453977009999999, -72.638775 -9.45013599, -72.64789992 -9.45430002, -72.65075112 -9.44655498, -72.65513088 -9.44740404, -72.65687112000001 -9.44388198, -72.66333816 -9.44651196, -72.671814 -9.443286000000001, -72.67033512 -9.44580204, -72.67408488 -9.44831898, -72.68077692 -9.446929020000001, -72.68362884 -9.452255040000001, -72.68510592 -9.44722296, -72.68979816 -9.44905797, -72.69732216 -9.443003040000001, -72.69585192 -9.438958980000001, -72.70634592 -9.440285039999999, -72.70907112 -9.438594030000001, -72.70664004 -9.43682598, -72.71507016 -9.43468002, -72.71386883999999 -9.438444, -72.71854992 -9.435600989999999, -72.72448992 -9.44040204, -72.72335699999999 -9.433968030000001, -72.72850284 -9.435889980000001, -72.72704484 -9.430398, -72.73222091999999 -9.434475989999999, -72.74044115999999 -9.430415999999999, -72.74678111999999 -9.420426989999999, -72.74374308 -9.416760030000001, -72.74539188 -9.41295699, -72.75044303999999 -9.41026797, -72.81860904 -9.410705999999999, -72.84024991999999 -9.410746222016011, -72.84024991999999 -9.101583009999999, -72.34024991999999 -9.101583009999999, -72.34024991999999 -9.540189191278332))
17;POINT (-72.59024991999999 -8.851583009999999);POLYGON ((-72.84024991999999 -9.101583009999999, -72.84024991999999 -8.601583009999999, -72.34024991999999 -8.601583009999999, -72.34024991999999 -9.101583009999999, -72.84024991999999 -9.101583009999999))
18;POINT (-72.59024991999999 -8.351583009999999);POLYGON ((-72.84024991999999 -8.601583009999999, -72.84024991999999 -8.101583009999999, -72.34024991999999 -8.101583009999999, -72.34024991999999 -8.601583009999999, -72.84024991999999 -8.601583009999999))
19;POINT (-72.59024991999999 -7.851583009999999);POLYGON ((-72.84024991999999 -8.101583009999999, -72.84024991999999 -7.601583009999999, -72.34024991999999 -7.601583009999999, -72.34024991999999 -8.101583009999999, -72.84024991999999 -8.101583009999999))
