;center_point;envelope
16;POINT (-38.66225076689106 -7.059034382794565);POLYGON ((-38.65872064220114 -7.087539999998754, -38.6594499999992 -7.085139999999228, -38.6663299999982 -7.081279999998515, -38.67109999999775 -7.070129999998244, -38.67688999999882 -7.0667, -38.66949999999815 -7.047299999998359, -38.67265999999836 -7.045829999999114, -38.68944999999803 -7.039829999997892, -38.68978864742811 -7.037539999998753, -38.64998999999786 -7.037539999998753, -38.64998999999786 -7.087539999998754, -38.65872064220114 -7.087539999998754))
17;POINT (-38.67409835207376 -7.01169205570729);POLYGON ((-38.68978864742811 -7.037539999998753, -38.69108999999844 -7.028739999997924, -38.69998999999785 -7.024279918440163, -38.69998999999785 -6.987539999998752, -38.64998999999786 -6.987539999998752, -38.64998999999786 -7.037539999998753, -38.68978864742811 -7.037539999998753))
18;POINT (-38.67498999999786 -6.962539999998753);POLYGON ((-38.69998999999785 -6.987539999998752, -38.69998999999785 -6.937539999998751, -38.64998999999786 -6.937539999998751, -38.64998999999786 -6.987539999998752, -38.69998999999785 -6.987539999998752))
19;POINT (-38.67498999999786 -6.91253999999875);POLYGON ((-38.69998999999785 -6.937539999998751, -38.69998999999785 -6.887539999998751, -38.64998999999786 -6.887539999998751, -38.64998999999786 -6.937539999998751, -38.69998999999785 -6.937539999998751))
20;POINT (-38.66912896500593 -6.867117352694818);POLYGON ((-38.69998999999785 -6.8761448469365, -38.68633999999838 -6.865389999999024, -38.67816999999923 -6.863659999999072, -38.67505999999776 -6.861429999999018, -38.67684999999801 -6.853929999999309, -38.67191999999886 -6.846579999999449, -38.66997999999876 -6.842969999997877, -38.67464391647696 -6.83753999999875, -38.64998999999786 -6.83753999999875, -38.64998999999786 -6.887539999998751, -38.69998999999785 -6.887539999998751, -38.69998999999785 -6.8761448469365))
21;POINT (-38.66005686969826 -6.828167405303174);POLYGON ((-38.67464391647696 -6.83753999999875, -38.67758999999933 -6.834109999997963, -38.67521999999917 -6.82981, -38.66142999999829 -6.823279999998704, -38.65751999999884 -6.81615999999849, -38.65526999999929 -6.813759999999093, -38.65441999999894 -6.812859999998182, -38.64998999999786 -6.808751419556322, -38.64998999999786 -6.83753999999875, -38.67464391647696 -6.83753999999875))
22;POINT (-38.65246008900594 -6.744663953773167);MULTIPOLYGON (((-38.64998999999786 -6.760156956520346, -38.65232999999898 -6.759359999998196, -38.65204999999878 -6.756649999999354, -38.64998999999786 -6.752572386829264, -38.64998999999786 -6.760156956520346)), ((-38.64998999999786 -6.751278148147797, -38.65717999999833 -6.740359999997963, -38.65676182509333 -6.737539999998749, -38.64998999999786 -6.737539999998749, -38.64998999999786 -6.751278148147797)))
23;POINT (-38.65912223782461 -6.707848685207007);POLYGON ((-38.65676182509333 -6.737539999998749, -38.65561999999773 -6.729839999998148, -38.6659699999982 -6.719409999997879, -38.67251999999826 -6.706319999999323, -38.66967999999906 -6.702149999999165, -38.67279999999846 -6.696819999999207, -38.66806463887074 -6.687539999998748, -38.64998999999786 -6.687539999998748, -38.64998999999786 -6.737539999998749, -38.65676182509333 -6.737539999998749))
24;POINT (-38.65612569596268 -6.672694060621242);MULTIPOLYGON (((-38.66806463887074 -6.687539999998748, -38.66410999999789 -6.67978999999832, -38.66022999999768 -6.678399999998874, -38.66200999999819 -6.673919999999271, -38.65160999999898 -6.672779999998966, -38.64998999999786 -6.669649136838619, -38.64998999999786 -6.687539999998748, -38.66806463887074 -6.687539999998748)), ((-38.64998999999786 -6.649828814228005, -38.65672999999879 -6.641889999998966, -38.65605963590098 -6.637539999998747, -38.64998999999786 -6.637539999998747, -38.64998999999786 -6.649828814228005)))
25;POINT (-38.65261088927441 -6.633373917962432);POLYGON ((-38.65605963590098 -6.637539999998747, -38.65491 -6.630079999998998, -38.64998999999786 -6.627760456769034, -38.64998999999786 -6.637539999998747, -38.65605963590098 -6.637539999998747))
