;date;center_point;envelope;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO
156;20230530;POINT (-34.96504607127347 -7.102594589284306);MULTIPOLYGON (((-34.86848521657973 -7.002539999998776, -34.86800999999832 -7.006509999999253, -34.8649899999978 -7.013497857961536, -34.8649899999978 -7.202539999998775, -35.0649899999978 -7.202539999998775, -35.0649899999978 -7.002539999998776, -34.86848521657973 -7.002539999998776)), ((-34.8649899999978 -7.004791739129843, -34.86527999999817 -7.004299999998693, -34.86547440657863 -7.002539999998776, -34.8649899999978 -7.002539999998776, -34.8649899999978 -7.004791739129843)));16.066745686242093;76.32902291437371;100.58058192496965;26.294736456035604;23.78173245062442;30.0007368651307;5.028482231883518;6.86703033943756;6.806072249881073;7.9659002964803705;3.439057785181646;5.757271100198844;20.058074311914183;34.77905261271203;10.97991332268187;13.88;0.23008667731812937;0.2864086557827603
157;20230530;POINT (-34.97281926564748 -6.908070882009525);MULTIPOLYGON (((-34.91383751517388 -6.802539999998777, -34.90855999999803 -6.840229999997973, -34.90238999999929 -6.854619999998249, -34.90243999999802 -6.864859999997861, -34.88768999999775 -6.88354999999865, -34.86841 -6.897409999997762, -34.8649899999978 -6.897984904035656, -34.8649899999978 -6.927437446802228, -34.86670999999842 -6.936439999997674, -34.8649899999978 -6.941248667850736, -34.8649899999978 -6.977022089038853, -34.86852999999792 -6.978979999998046, -34.87057999999888 -6.985039999997753, -34.86848521657973 -7.002539999998776, -35.0649899999978 -7.002539999998776, -35.0649899999978 -6.802539999998777, -34.91383751517388 -6.802539999998777)), ((-34.86547440657863 -7.002539999998776, -34.86715999999797 -6.987279999999373, -34.8649899999978 -6.9830083954128, -34.8649899999978 -7.002539999998776, -34.86547440657863 -7.002539999998776)));16.156663600307635;76.24446291327457;100.61350230736495;26.395945692097566;23.97703863902929;29.97085122069991;5.175219229227363;6.968336606812618;6.891106812172437;8.066569168505675;3.616920643279898;5.861947811575621;20.16774925121739;34.53586035599622;11.108662164472587;13.879999999999999;0.10133783552741014;0.11951200901701314
158;20230530;POINT (-35.00179808128096 -6.709829029845321);POLYGON ((-34.96518306997667 -6.602539999998777, -34.96517999999924 -6.602709999999206, -34.96194999999898 -6.6397799999977, -34.95599999999831 -6.662139999998544, -34.9468599999982 -6.68062, -34.93084 -6.687789999998131, -34.93438999999853 -6.698269999998956, -34.93378999999914 -6.710119999997914, -34.93162999999913 -6.720459999998639, -34.93437999999878 -6.731339999998454, -34.92885999999817 -6.739479999998366, -34.93877999999859 -6.752989999999045, -34.93287999999848 -6.756359999999404, -34.93164999999863 -6.766039999998611, -34.93696 -6.770359999998618, -34.92565999999897 -6.770589999998265, -34.91877999999815 -6.766779999998107, -34.9183299999986 -6.769979999999123, -34.91547999999784 -6.790809999998601, -34.91383751517388 -6.802539999998777, -35.0649899999978 -6.802539999998777, -35.0649899999978 -6.602539999998777, -34.96518306997667 -6.602539999998777));16.303078465291662;76.30746208179063;100.68015044499391;26.506950630693506;24.284561502375492;29.788098379848485;5.401492997843222;7.113125832858003;7.001515083478976;8.184473189647795;3.918936927429172;6.029475915121506;20.488400884281013;34.00008248749584;11.276061639756207;13.942771174549591;0.0681388023842997;0.0681388023842997
159;20230530;POINT (-35.01204281538442 -6.554073294379765);POLYGON ((-35.0649899999978 -6.524868703505627, -35.05740999999944 -6.527389999999286, -35.03663999999844 -6.516719999997804, -35.02821999999833 -6.505119999997987, -35.01847999999882 -6.502659999998286, -35.0107999999982 -6.505719999999201, -34.99174999999923 -6.50108999999793, -34.97936999999911 -6.489729999999327, -34.97124999999869 -6.484839999999167, -34.96845999999823 -6.489729999999327, -34.96717999999782 -6.491959999999381, -34.96518306997667 -6.602539999998777, -35.0649899999978 -6.602539999998777, -35.0649899999978 -6.524868703505627));16.358073739272452;76.36230238915289;100.70721060033358;26.540288345314416;24.398440193708485;29.69862336925408;5.484517472540571;7.164377177848741;7.038627505368914;8.22161074489217;4.034304266001304;6.091948160442263;20.630911573628087;33.77712221545283;11.332376347643356;13.97610028738076;0.08307943917068636;0.08307943917068636
160;20230530;POINT (-34.8376234816357 -7.469598349956611);POLYGON ((-34.80432695617677 -7.402539999998774, -34.81113999999798 -7.459059999999226, -34.80332999999882 -7.471689999998489, -34.81071999999767 -7.477859999999055, -34.81460999999945 -7.486319999998159, -34.80944999999883 -7.5115199999982, -34.81999999999789 -7.528169999997772, -34.82582999999795 -7.547369999998409, -34.83193999999821 -7.548719999998866, -34.83826999999837 -7.54389, -34.84003999999914 -7.54341999999815, -34.85351999999875 -7.539239999998244, -34.85769999999866 -7.537539999999353, -34.8649899999978 -7.543979787232139, -34.8649899999978 -7.402539999998774, -34.80432695617677 -7.402539999998774));16.033489055776553;76.57212136782802;100.56108479320166;26.191311775993526;23.71694282570567;29.832822355052123;4.944811123089583;6.767462517076234;6.70328805304256;7.830857665730155;3.395317783993263;5.687770389042681;20.121027811179466;34.69201071030668;10.953480739256927;13.885348073925693;0.27256348252015195;0.3472154085944593
161;20230530;POINT (-34.83276961099789 -7.303736714508121);POLYGON ((-34.79846565246672 -7.202539999998775, -34.80268999999862 -7.210149999998976, -34.80524999999943 -7.239689999998518, -34.80425999999898 -7.260299999998097, -34.79869999999937 -7.277589999997872, -34.80046999999831 -7.293979999998555, -34.79755999999907 -7.300199999997858, -34.79934999999932 -7.306019999998171, -34.80145999999877 -7.315439999998489, -34.79881999999816 -7.320959999999104, -34.79360999999881 -7.329149999997753, -34.79966999999851 -7.357249999999112, -34.79683999999907 -7.366499999998268, -34.80197999999837 -7.383069999998042, -34.80432695617677 -7.402539999998774, -34.8649899999978 -7.402539999998774, -34.8649899999978 -7.202539999998775, -34.79846565246672 -7.202539999998775));16.018737418055718;76.4474531043312;100.5604724340566;26.217869018995227;23.68003192717949;29.95477733985221;4.939966450053978;6.7914578326728625;6.735992612832296;7.878313658711936;3.3517208398921294;5.690732374726872;20.035330460006012;34.84766508284622;10.918502228573884;13.88185022285739;0.29704843999828173;0.3751982171408934
162;20230530;POINT (-34.83855769820956 -7.124217094837482);MULTIPOLYGON (((-34.8649899999978 -7.013497857961536, -34.85927999999876 -7.026709999998275, -34.85480999999891 -7.027109999999084, -34.8483099999994 -7.010999999998603, -34.83930203791355 -7.002539999998776, -34.82591429809165 -7.002539999998776, -34.82546999999795 -7.006599999998798, -34.82985999999801 -7.030469999997877, -34.84052999999767 -7.042289999999412, -34.84335999999894 -7.055419999998776, -34.83799999999792 -7.067999999999302, -34.83011999999871 -7.072999999998501, -34.83368999999766 -7.097969999998895, -34.82196999999906 -7.11051999999836, -34.8219999999983 -7.130409999997937, -34.80974999999853 -7.144799999998213, -34.79699999999866 -7.146389999998064, -34.7933299999986 -7.154089999998178, -34.79447999999866 -7.195359999997891, -34.79846565246672 -7.202539999998775, -34.8649899999978 -7.202539999998775, -34.8649899999978 -7.013497857961536)), ((-34.85112349935957 -7.002539999998776, -34.85883999999896 -7.015219999999317, -34.8649899999978 -7.004791739129843, -34.8649899999978 -7.002539999998776, -34.85112349935957 -7.002539999998776)));16.06459497547805;76.33104547135207;100.57979451545835;26.292315672639095;23.7770609997122;30.001451687953676;5.0249724881027555;6.864607235187726;6.8040383420626345;7.963492437835975;3.434803554337762;5.754767379641687;20.055451040734507;34.7848694314148;10.976833830427465;13.880000000000003;0.23316616957253755;0.29040059018662273
163;20230530;POINT (-34.8507774093558 -6.971435517633627);MULTIPOLYGON (((-34.83930203791355 -7.002539999998776, -34.83482999999796 -6.998339999998279, -34.83518999999797 -6.978869999999006, -34.84150999999838 -6.966149999998379, -34.82988999999907 -6.966209999998682, -34.82591429809165 -7.002539999998776, -34.83930203791355 -7.002539999998776)), ((-34.86366999999882 -6.980409999998301, -34.8579499999978 -6.983909999999014, -34.847389999999 -6.981639999998151, -34.84930999999779 -6.999559999998382, -34.85112349935957 -7.002539999998776, -34.8649899999978 -7.002539999998776, -34.8649899999978 -6.9830083954128, -34.86366999999882 -6.980409999998301)), ((-34.8649899999978 -6.941248667850736, -34.86107999999876 -6.952179999998407, -34.85045999999784 -6.96418999999878, -34.85477999999785 -6.971749999998792, -34.86268999999811 -6.975749999997788, -34.8649899999978 -6.977022089038853, -34.8649899999978 -6.941248667850736)), ((-34.8649899999978 -6.897984904035656, -34.85329999999885 -6.89995, -34.86268999999811 -6.915529999998398, -34.86294999999882 -6.916759999998249, -34.8649899999978 -6.927437446802228, -34.8649899999978 -6.897984904035656)));16.14717746765587;76.25338379845967;100.61002928291157;26.38526835100436;23.95643428637972;29.974004087293856;5.159738814271211;6.957649029139553;6.882135861875558;8.05594883457266;3.5981565217666582;5.850904659830049;20.156178797947682;34.56151657846384;11.095079458460324;13.880000000000003;0.11492054153967701;0.13711922051439612
